SURVEY_ID_,FACILITY_I,LONGITUDE,LATITUDE,FACILITY_U,GEOCODING_,FACILITY_N,STREET,CITY,ZIP_CODE,ZIP_CODE_E,CITY_BORO_,COUNTY,AREA_CODE,TELEPHONE_,CHIEF_EXEC,CHIEF_EX_1,LAT,LNG
1357,135701,-80.322191,40.712211,http://www.heritagevalley.org,00,HERITAGE VALLEY BEAVER,1000 DUTCH RIDGE ROAD,BEAVER,15009.0, ,Brighton Township,BEAVER,724,7287000,Norman F. Mitry,President and CEO,40.712211000000025,-80.32219099999998
0040,13570101,-80.323549,40.712388,http://curahealth.com,00,CURAHEALTH HERITAGE VALLEY,"1000 DUTCH RIDGE ROAD, 2ND FL TOWER A",BEAVER,15009.0, ,BRIGHTON,BEAVER,724,7738480,Lee Ann Dernovsek,Chief Executive Officer,40.71238800000003,-80.32354899999996
1370,137001,-79.911309,40.181929,http://www.monvalleyhospital.com,00,MONONGAHELA VALLEY HOSPITAL,1163 COUNTRY CLUB ROAD,MONONGAHELA,15063.0,1095,CARROLL TOWNSHIP,WASHINGTON,724,2581000,"Louis J. Panza, Jr.",President and CEO,40.181929000000025,-79.91130899999996
0047,53010101,-79.736466,40.618243,https://www.lifecarehealthpartners.com,00,NEW LIFECARE HOSPITALS PGH - ALLE-KISKI,1301 CARLISLE STREET,NATRONA,15065.0, ,Harrison Twp,ALLEGHENY,724,2267488,Jennifer Malko,Market CEO,40.618243000000064,-79.73646599999995
7901,790101,-79.736466,40.618243,http://www.ahn.org,00,ALLEGHENY VALLEY HOSPITAL,1301 CARLISLE STREET,NATRONA HEIGHTS,15065.0, ,HARRISON,ALLEGHENY,724,2265100,Jeffrey Carlson,Interim President and CEO,40.618243000000064,-79.73646599999995
0023,490601,-80.208526,40.43879,http://curahealth.com,00,CURAHEALTH PITTSBURGH,7777 STEUBENVILLE PIKE,OAKDALE,15071.0, ,Robinson Twp,ALLEGHENY,412,4945500,Carol Falo,CEO,40.43879000000004,-80.20852599999995
6504,650401,-79.849656,40.351585,http://www.upmc.com,00,UPMC MCKEESPORT,1500 FIFTH AVENUE,MCKEESPORT,15132.0,2482,McKeesport,ALLEGHENY,412,6642000,Mark O'Hern,President,40.35158500000006,-79.84965599999998
0042,65040101,-79.849656,40.351585,http://mckeesport.selectspecialtyhospitals.com,00,SELECT SPECIALTY HOSPITAL MCKEESPORT INC,1500 FIFTH AVENUE,MCKEESPORT,15132.0, ,McKeesport,ALLEGHENY,412,6642900,Laurie Kozorosky,Chief Executive Officer,40.35158500000006,-79.84965599999998
1504,150401,-80.091126,40.472531,http://ohiovalleyhospital.org,00,OHIO VALLEY GENERAL HOSPITAL,25 Heckel Rd,McKees Rocks,15136.0, ,KENNEDY TWN,ALLEGHENY,412,7776370,MICHAEL S. MILLER,PRESIDENT S. MILLER,40.47253100000006,-80.09112599999997
1963,196301,-80.177767,40.542283,http://www.heritagevalley.org,00,HERITAGE VALLEY SEWICKLEY,720 BLACKBURN ROAD,SEWICKLEY,15143.0,1498,SEWICKLEY,ALLEGHENY,412,7497000,Norman F. Mitry,President and CEO,40.542283000000054,-80.17776699999996
2341,234101,-80.203686,40.576514,https://www.encompasshealth.com,00,ENCOMPASS HEALTH REHAB HOSP SEWICKLEY,303 CAMP MEETING ROAD,SEWICKLEY,15143.0,8773,Leet Township,ALLEGHENY,412,7419500,Leah Laffey,CEO,40.57651400000003,-80.20368599999995
3111,311101,-79.747693,40.428265,http://www.ahn.org,00,FORBES HOSPITAL,2570 HAYMAKER ROAD,MONROEVILLE,15146.0,3592,Monroeville,ALLEGHENY,412,8582000,Mark A. Rubino M.D.,President,40.42826500000007,-79.74769299999997
2276,22760101,-79.760155,40.436493,http://www.upmc.com,00,UPMC EAST,2775 MOSSIDE BOULEVARD,MONROEVILLE,15146.0, ,Monroeville,ALLEGHENY,412,3573000,Mark O'Hern,President,40.43649300000004,-79.76015499999994
0046,22980101,-80.060433,40.495188, ,00,NEW LIFECARE HOSPITALS OF PGH - SUBURBAN,100 SOUTH JACKSON AVENUE,PITTSBURGH,15202.0, ,Bellevue Boro,ALLEGHENY,412,2472424,Jennifer Malko,Market CEO,40.49518800000004,-80.06043299999999
5301,530101,-80.003321,40.456946,http://www.ahn.org,00,ALLEGHENY GENERAL HOSPITAL,320 EAST NORTH AVENUE,PITTSBURGH,15212.0,9986,PITTSBURGH CITY,ALLEGHENY,412,3593131,Jeffrey Cohen,President,40.45694600000007,-80.00332099999997
1633,163301,-79.960591,40.442716,http://www.upmc.com,00,UPMC PRESBYTERIAN SHADYSIDE,200 LOTHROP STREET,PITTSBURGH,15213.0,2536,CITY OF PITTSBURGH,ALLEGHENY,412,6470170,JOHN INNOCENTI,PRESIDENT,40.442716000000075,-79.96059099999997
0041,16330101,-79.960591,40.442716,https://www.selectmedical.com,00,SELECT SPECIALTY HOSPITAL PITTSBRGH/UPMC,200 LOTHROP STREET; MUH E824,PITTSBURGH,15213.0, ,City of Pittsburgh,ALLEGHENY,412,5869819,Rosemary Gaglia,CEO,40.442716000000075,-79.96059099999997
6503,650301,-79.96103,40.437159,https://www.upmc.com,00,UPMC MAGEE -  WOMENS HOSPITAL,300 HALKET STREET,PITTSBURGH,15213.0,3180,PITTSBURGH,ALLEGHENY,412,6414698,Richard Beigi,CEO,40.437159000000065,-79.96102999999994
1959,195901,-79.896013,40.489358,http://www.upmc.com,00,UPMC ST MARGARET,815 FREEPORT ROAD,PITTSBURGH,15215.0,3399,PITTSBURGH CITY,ALLEGHENY,412,7844000,David Patton,President,40.48935800000004,-79.89601299999998
1361,13610100,-79.985929,40.436653,https://www.upmc.com,00,UPMC MERCY,1400 LOCUST STREET,PITTSBURGH,15219.0,5166,PITTSBURGH CITY,ALLEGHENY,412,2327637,Michael Grace,President,40.436653000000035,-79.98592899999994
